from_code,to_code,weight,method
DEB3C,DEB3C,1.0,composed
DEB3D,DEB3D,1.0,composed
DEB3E,DEB3E,1.0,composed
DEB3F,DEB3F,1.0,composed
DEB3G,DEB3G,1.0,composed
DEB3H,DEB3H,1.0,composed
DEB3I,DEB3I,1.0,composed
DEB3J,DEB3J,1.0,composed
DEB3K,DEB3K,1.0,composed
DEC01,DEC01,1.0,composed
DEC02,DEC02,1.0,composed
DEC03,DEC03,1.0,composed
DEC04,DEC04,1.0,composed
DEC05,DEC05,1.0,composed
DEC06,DEC06,1.0,composed
DED21,DED21,1.0,composed
DED2C,DED2C,1.0,composed
DED2D,DED2D,1.0,composed
DED2E,DED2E,1.0,composed
DED2F,DED2F,1.0,composed
DED41,DED41,1.0,composed
DED42,DED42,1.0,composed
DED43,DED43,1.0,composed
DED44,DED44,1.0,composed
DED45,DED45,1.0,composed
DED51,DED51,1.0,composed
DED52,DED52,1.0,composed
DED53,DED53,1.0,composed
DEE01,DEE01,1.0,composed
DEE02,DEE02,1.0,composed
DEE03,DEE03,1.0,composed
DEE04,DEE04,1.0,composed
DEE05,DEE05,1.0,composed
DEE06,DEE06,1.0,composed
DEE07,DEE07,1.0,composed
DEE08,DEE08,1.0,composed
DEE09,DEE09,1.0,composed
DEE0A,DEE0A,1.0,composed
DEE0B,DEE0B,1.0,composed
DEE0C,DEE0C,1.0,composed
DEE0D,DEE0D,1.0,composed
DEE0E,DEE0E,1.0,composed
DEF01,DEF01,1.0,composed
DEF02,DEF02,1.0,composed
DEF03,DEF03,1.0,composed
DEF04,DEF04,1.0,composed
DEF05,DEF05,1.0,composed
DEF06,DEF06,1.0,composed
DEF07,DEF07,1.0,composed
DEF08,DEF08,1.0,composed
DEF09,DEF09,1.0,composed
DEF0A,DEF0A,1.0,composed
DEF0B,DEF0B,1.0,composed
DEF0C,DEF0C,1.0,composed
DEF0D,DEF0D,1.0,composed
DEF0E,DEF0E,1.0,composed
DEF0F,DEF0F,1.0,composed
DEG01,DEG01,1.0,composed
DEG02,DEG02,1.0,composed
DEG03,DEG03,1.0,composed
DEG04,DEG0S,1.0,composed
DEG05,DEG05,1.0,composed
DEG06,DEG06,1.0,composed
DEG07,DEG07,1.0,composed
DEG09,DEG09,1.0,composed
DEG0A,DEG0A,1.0,composed
DEG0B,DEG0Q,1.0,composed
DEG0C,DEG0C,1.0,composed
DEG0D,DEG0D,1.0,composed
DEG0E,DEG0E,1.0,composed
DEG0F,DEG0S,0.019863903813597487,composed
DEG0F,DEG0T,0.9801360961864025,composed
DEG0G,DEG0G,1.0,composed
DEG0H,DEG0V,1.0,composed
DEG0I,DEG0U,0.9786501813361533,composed
DEG0I,DEG0V,0.02134981866384671,composed
DEG0J,DEG0J,1.0,composed
DEG0K,DEG0K,1.0,composed
DEG0L,DEG0L,1.0,composed
DEG0M,DEG0M,1.0,composed
DEG0N,DEG0R,1.0,composed
DEG0P,DEG0Q,0.026954954315277835,composed
DEG0P,DEG0R,0.9730450456847222,composed
DK011,DK011,1.0,composed
